,cov,model,r_squared,trial_type,w
0,1.44839612058e-05,VGG7,0.979590925636,column_pairs_mixed,0.0470305301252
1,inf,VGG7,1.0,column_pairs_sorted,0.0115565397692
2,0.00168753101003,VGG7,0.581143527461,scattered_pairs,0.255535818856
3,0.00195201264742,VGG7,0.842902419898,scattered_random,0.363244755948
4,7.1286406549,VGG9,0.999103782039,column_pairs_mixed,0.0150789255105
5,inf,VGG9,1.0,column_pairs_sorted,0.0115565397692
6,5.9968008309e-06,VGG9,0.996533464966,scattered_pairs,0.0372787398192
7,8.27182423903e-06,VGG9,0.985292915799,scattered_random,0.0845169173105
8,12.2655547315,VGG11,0.999553750725,column_pairs_mixed,0.0146768097161
9,inf,VGG11,1.0,column_pairs_sorted,0.0115565397692
10,4.89446900455e-06,VGG11,0.993987374373,scattered_pairs,0.0453918134921
11,1.86051477185e-05,VGG11,0.97094742959,scattered_random,0.0934436037675
12,inf,VGG13,1.0,column_pairs_mixed,0.0115565397692
13,inf,VGG13,1.0,column_pairs_sorted,0.0115565397692
14,1.35586184111e-06,VGG13,0.999169819262,scattered_pairs,0.0378187861669
15,1.47067720234e-05,VGG13,0.973006747926,scattered_random,0.0811698090009
