,trial_type,ratio,accuracy,model,n1,n2
0,column_pairs_mixed,1.11111111111,0.94,VGG7,10.0,9.0
1,column_pairs_mixed,2.0,0.97,VGG7,2.0,1.0
2,column_pairs_mixed,1.5,0.99,VGG7,3.0,2.0
3,column_pairs_mixed,1.33333333333,1.0,VGG7,4.0,3.0
4,column_pairs_mixed,1.25,0.99,VGG7,5.0,4.0
5,column_pairs_mixed,1.2,0.96,VGG7,6.0,5.0
6,column_pairs_mixed,1.16666666667,0.96,VGG7,7.0,6.0
7,column_pairs_mixed,1.14285714286,0.97,VGG7,8.0,7.0
8,column_pairs_mixed,1.125,0.99,VGG7,9.0,8.0
9,column_pairs_sorted,1.11111111111,1.0,VGG7,10.0,9.0
10,column_pairs_sorted,2.0,1.0,VGG7,2.0,1.0
11,column_pairs_sorted,1.5,1.0,VGG7,3.0,2.0
12,column_pairs_sorted,1.33333333333,1.0,VGG7,4.0,3.0
13,column_pairs_sorted,1.25,1.0,VGG7,5.0,4.0
14,column_pairs_sorted,1.2,1.0,VGG7,6.0,5.0
15,column_pairs_sorted,1.16666666667,1.0,VGG7,7.0,6.0
16,column_pairs_sorted,1.14285714286,1.0,VGG7,8.0,7.0
17,column_pairs_sorted,1.125,1.0,VGG7,9.0,8.0
18,scattered_pairs,1.11111111111,0.6,VGG7,10.0,9.0
19,scattered_pairs,2.0,0.93,VGG7,2.0,1.0
20,scattered_pairs,1.5,0.77,VGG7,3.0,2.0
21,scattered_pairs,1.33333333333,0.8,VGG7,4.0,3.0
22,scattered_pairs,1.25,0.75,VGG7,5.0,4.0
23,scattered_pairs,1.2,0.56,VGG7,6.0,5.0
24,scattered_pairs,1.16666666667,0.78,VGG7,7.0,6.0
25,scattered_pairs,1.14285714286,0.79,VGG7,8.0,7.0
26,scattered_pairs,1.125,0.67,VGG7,9.0,8.0
27,scattered_random,1.11111111111,0.55,VGG7,10.0,9.0
28,scattered_random,2.0,0.94,VGG7,2.0,1.0
29,scattered_random,1.5,0.84,VGG7,3.0,2.0
30,scattered_random,1.33333333333,0.71,VGG7,4.0,3.0
31,scattered_random,1.25,0.64,VGG7,5.0,4.0
32,scattered_random,1.2,0.51,VGG7,6.0,5.0
33,scattered_random,1.16666666667,0.56,VGG7,7.0,6.0
34,scattered_random,1.14285714286,0.61,VGG7,8.0,7.0
35,scattered_random,1.125,0.63,VGG7,9.0,8.0
36,column_pairs_mixed,1.11111111111,1.0,VGG9,10.0,9.0
37,column_pairs_mixed,2.0,1.0,VGG9,2.0,1.0
38,column_pairs_mixed,1.5,1.0,VGG9,3.0,2.0
39,column_pairs_mixed,1.33333333333,1.0,VGG9,4.0,3.0
40,column_pairs_mixed,1.25,1.0,VGG9,5.0,4.0
41,column_pairs_mixed,1.2,0.99,VGG9,6.0,5.0
42,column_pairs_mixed,1.16666666667,0.99,VGG9,7.0,6.0
43,column_pairs_mixed,1.14285714286,1.0,VGG9,8.0,7.0
44,column_pairs_mixed,1.125,1.0,VGG9,9.0,8.0
45,column_pairs_sorted,1.11111111111,1.0,VGG9,10.0,9.0
46,column_pairs_sorted,2.0,1.0,VGG9,2.0,1.0
47,column_pairs_sorted,1.5,1.0,VGG9,3.0,2.0
48,column_pairs_sorted,1.33333333333,1.0,VGG9,4.0,3.0
49,column_pairs_sorted,1.25,1.0,VGG9,5.0,4.0
50,column_pairs_sorted,1.2,1.0,VGG9,6.0,5.0
51,column_pairs_sorted,1.16666666667,1.0,VGG9,7.0,6.0
52,column_pairs_sorted,1.14285714286,1.0,VGG9,8.0,7.0
53,column_pairs_sorted,1.125,1.0,VGG9,9.0,8.0
54,scattered_pairs,1.11111111111,0.98,VGG9,10.0,9.0
55,scattered_pairs,2.0,1.0,VGG9,2.0,1.0
56,scattered_pairs,1.5,1.0,VGG9,3.0,2.0
57,scattered_pairs,1.33333333333,1.0,VGG9,4.0,3.0
58,scattered_pairs,1.25,1.0,VGG9,5.0,4.0
59,scattered_pairs,1.2,0.98,VGG9,6.0,5.0
60,scattered_pairs,1.16666666667,0.98,VGG9,7.0,6.0
61,scattered_pairs,1.14285714286,0.99,VGG9,8.0,7.0
62,scattered_pairs,1.125,0.99,VGG9,9.0,8.0
63,scattered_random,1.11111111111,0.81,VGG9,10.0,9.0
64,scattered_random,2.0,1.0,VGG9,2.0,1.0
65,scattered_random,1.5,1.0,VGG9,3.0,2.0
66,scattered_random,1.33333333333,0.96,VGG9,4.0,3.0
67,scattered_random,1.25,0.98,VGG9,5.0,4.0
68,scattered_random,1.2,0.94,VGG9,6.0,5.0
69,scattered_random,1.16666666667,0.88,VGG9,7.0,6.0
70,scattered_random,1.14285714286,0.85,VGG9,8.0,7.0
71,scattered_random,1.125,0.87,VGG9,9.0,8.0
72,column_pairs_mixed,1.11111111111,1.0,VGG11,10.0,9.0
73,column_pairs_mixed,2.0,1.0,VGG11,2.0,1.0
74,column_pairs_mixed,1.5,1.0,VGG11,3.0,2.0
75,column_pairs_mixed,1.33333333333,1.0,VGG11,4.0,3.0
76,column_pairs_mixed,1.25,1.0,VGG11,5.0,4.0
77,column_pairs_mixed,1.2,1.0,VGG11,6.0,5.0
78,column_pairs_mixed,1.16666666667,0.99,VGG11,7.0,6.0
79,column_pairs_mixed,1.14285714286,1.0,VGG11,8.0,7.0
80,column_pairs_mixed,1.125,1.0,VGG11,9.0,8.0
81,column_pairs_sorted,1.11111111111,1.0,VGG11,10.0,9.0
82,column_pairs_sorted,2.0,1.0,VGG11,2.0,1.0
83,column_pairs_sorted,1.5,1.0,VGG11,3.0,2.0
84,column_pairs_sorted,1.33333333333,1.0,VGG11,4.0,3.0
85,column_pairs_sorted,1.25,1.0,VGG11,5.0,4.0
86,column_pairs_sorted,1.2,1.0,VGG11,6.0,5.0
87,column_pairs_sorted,1.16666666667,1.0,VGG11,7.0,6.0
88,column_pairs_sorted,1.14285714286,1.0,VGG11,8.0,7.0
89,column_pairs_sorted,1.125,1.0,VGG11,9.0,8.0
90,scattered_pairs,1.11111111111,0.93,VGG11,10.0,9.0
91,scattered_pairs,2.0,1.0,VGG11,2.0,1.0
92,scattered_pairs,1.5,1.0,VGG11,3.0,2.0
93,scattered_pairs,1.33333333333,1.0,VGG11,4.0,3.0
94,scattered_pairs,1.25,0.99,VGG11,5.0,4.0
95,scattered_pairs,1.2,0.99,VGG11,6.0,5.0
96,scattered_pairs,1.16666666667,0.98,VGG11,7.0,6.0
97,scattered_pairs,1.14285714286,0.99,VGG11,8.0,7.0
98,scattered_pairs,1.125,0.99,VGG11,9.0,8.0
99,scattered_random,1.11111111111,0.8,VGG11,10.0,9.0
100,scattered_random,2.0,1.0,VGG11,2.0,1.0
101,scattered_random,1.5,1.0,VGG11,3.0,2.0
102,scattered_random,1.33333333333,0.98,VGG11,4.0,3.0
103,scattered_random,1.25,0.96,VGG11,5.0,4.0
104,scattered_random,1.2,0.9,VGG11,6.0,5.0
105,scattered_random,1.16666666667,0.86,VGG11,7.0,6.0
106,scattered_random,1.14285714286,0.8,VGG11,8.0,7.0
107,scattered_random,1.125,0.87,VGG11,9.0,8.0
108,column_pairs_mixed,1.11111111111,1.0,VGG13,10.0,9.0
109,column_pairs_mixed,2.0,1.0,VGG13,2.0,1.0
110,column_pairs_mixed,1.5,1.0,VGG13,3.0,2.0
111,column_pairs_mixed,1.33333333333,1.0,VGG13,4.0,3.0
112,column_pairs_mixed,1.25,1.0,VGG13,5.0,4.0
113,column_pairs_mixed,1.2,1.0,VGG13,6.0,5.0
114,column_pairs_mixed,1.16666666667,1.0,VGG13,7.0,6.0
115,column_pairs_mixed,1.14285714286,1.0,VGG13,8.0,7.0
116,column_pairs_mixed,1.125,1.0,VGG13,9.0,8.0
117,column_pairs_sorted,1.11111111111,1.0,VGG13,10.0,9.0
118,column_pairs_sorted,2.0,1.0,VGG13,2.0,1.0
119,column_pairs_sorted,1.5,1.0,VGG13,3.0,2.0
120,column_pairs_sorted,1.33333333333,1.0,VGG13,4.0,3.0
121,column_pairs_sorted,1.25,1.0,VGG13,5.0,4.0
122,column_pairs_sorted,1.2,1.0,VGG13,6.0,5.0
123,column_pairs_sorted,1.16666666667,1.0,VGG13,7.0,6.0
124,column_pairs_sorted,1.14285714286,1.0,VGG13,8.0,7.0
125,column_pairs_sorted,1.125,1.0,VGG13,9.0,8.0
126,scattered_pairs,1.11111111111,0.97,VGG13,10.0,9.0
127,scattered_pairs,2.0,1.0,VGG13,2.0,1.0
128,scattered_pairs,1.5,1.0,VGG13,3.0,2.0
129,scattered_pairs,1.33333333333,1.0,VGG13,4.0,3.0
130,scattered_pairs,1.25,1.0,VGG13,5.0,4.0
131,scattered_pairs,1.2,0.99,VGG13,6.0,5.0
132,scattered_pairs,1.16666666667,1.0,VGG13,7.0,6.0
133,scattered_pairs,1.14285714286,1.0,VGG13,8.0,7.0
134,scattered_pairs,1.125,0.99,VGG13,9.0,8.0
135,scattered_random,1.11111111111,0.85,VGG13,10.0,9.0
136,scattered_random,2.0,1.0,VGG13,2.0,1.0
137,scattered_random,1.5,1.0,VGG13,3.0,2.0
138,scattered_random,1.33333333333,1.0,VGG13,4.0,3.0
139,scattered_random,1.25,0.99,VGG13,5.0,4.0
140,scattered_random,1.2,0.89,VGG13,6.0,5.0
