,filename,predicted_class,probabilities,true_label,trial_type,num_blue,num_yellow,ratio
0,b'images/small/test/column_pairs_mixed_b10_y12_0_401.png',0,[0.9975908  0.00240924],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
1,b'images/small/test/column_pairs_mixed_b10_y12_0_405.png',0,[9.9996853e-01 3.1509004e-05],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
2,b'images/small/test/column_pairs_mixed_b10_y12_0_407.png',0,[9.9957055e-01 4.2939381e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
3,b'images/small/test/column_pairs_mixed_b10_y12_0_409.png',0,[0.9982029  0.00179704],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
4,b'images/small/test/column_pairs_mixed_b10_y12_0_411.png',0,[9.9983656e-01 1.6340471e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
5,b'images/small/test/column_pairs_mixed_b10_y12_0_413.png',0,[0.871839   0.12816101],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
6,b'images/small/test/column_pairs_mixed_b10_y12_0_415.png',0,[0.9975527  0.00244729],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
7,b'images/small/test/column_pairs_mixed_b10_y12_0_423.png',0,[9.9923706e-01 7.6291629e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
8,b'images/small/test/column_pairs_mixed_b10_y12_0_425.png',0,[9.9974042e-01 2.5956775e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
9,b'images/small/test/column_pairs_mixed_b10_y12_0_435.png',0,[9.9984884e-01 1.5118100e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
10,b'images/small/test/column_pairs_mixed_b10_y12_0_443.png',0,[0.9652454  0.03475464],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
11,b'images/small/test/column_pairs_mixed_b10_y12_0_445.png',0,[9.9987817e-01 1.2181292e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
12,b'images/small/test/column_pairs_mixed_b10_y12_0_447.png',0,[9.9937797e-01 6.2200724e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
13,b'images/small/test/column_pairs_mixed_b10_y12_0_451.png',0,[0.9965647  0.00343538],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
14,b'images/small/test/column_pairs_mixed_b10_y12_0_453.png',0,[0.9983525  0.00164753],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
15,b'images/small/test/column_pairs_mixed_b10_y12_0_455.png',0,[9.9998248e-01 1.7516668e-05],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
16,b'images/small/test/column_pairs_mixed_b10_y12_0_461.png',0,[0.9980665  0.00193357],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
17,b'images/small/test/column_pairs_mixed_b10_y12_0_463.png',0,[0.99276286 0.00723711],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
18,b'images/small/test/column_pairs_mixed_b10_y12_0_471.png',0,[0.99870086 0.00129907],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
19,b'images/small/test/column_pairs_mixed_b10_y12_0_477.png',0,[9.9994719e-01 5.2777297e-05],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
20,b'images/small/test/column_pairs_mixed_b10_y12_0_479.png',0,[9.9981469e-01 1.8530415e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
21,b'images/small/test/column_pairs_mixed_b10_y12_0_483.png',0,[0.9512863  0.04871371],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
22,b'images/small/test/column_pairs_mixed_b10_y12_0_487.png',0,[0.98362136 0.0163787 ],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
23,b'images/small/test/column_pairs_mixed_b10_y12_0_489.png',0,[0.98449194 0.01550807],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
24,b'images/small/test/column_pairs_mixed_b10_y12_0_493.png',0,[9.9973506e-01 2.6492780e-04],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
25,b'images/small/test/column_pairs_mixed_b10_y12_0_495.png',0,[0.99736243 0.00263753],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
26,b'images/small/test/column_pairs_mixed_b10_y12_0_499.png',0,[0.61177623 0.3882238 ],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
27,b'images/small/test/column_pairs_mixed_b10_y5_0_12.png',1,[1.3536268e-08 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
28,b'images/small/test/column_pairs_mixed_b10_y5_0_18.png',1,[7.051342e-07 9.999993e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
29,b'images/small/test/column_pairs_mixed_b10_y5_0_20.png',1,[2.0973437e-06 9.9999785e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
30,b'images/small/test/column_pairs_mixed_b10_y5_0_22.png',1,[1.1675086e-09 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
31,b'images/small/test/column_pairs_mixed_b10_y5_0_28.png',1,[2.6190651e-04 9.9973804e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
32,b'images/small/test/column_pairs_mixed_b10_y5_0_36.png',1,[6.6055134e-07 9.9999928e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
33,b'images/small/test/column_pairs_mixed_b10_y5_0_38.png',1,[4.3249856e-05 9.9995673e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
34,b'images/small/test/column_pairs_mixed_b10_y5_0_42.png',1,[1.2361384e-07 9.9999988e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
35,b'images/small/test/column_pairs_mixed_b10_y5_0_46.png',1,[8.3182749e-06 9.9999166e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
36,b'images/small/test/column_pairs_mixed_b10_y5_0_50.png',1,[3.116685e-05 9.999689e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
37,b'images/small/test/column_pairs_mixed_b10_y5_0_52.png',1,[7.1763912e-05 9.9992824e-01],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
